accuracy,f1,n_estimators,max_depth,min_samples_leaf,bootstrap,criterion,predictors,predictor importances,Random Sampling
0.8318105093204169,0.8117659928458594,84,12,1,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0071178472711910966, 0.4595820860285144, 0.4971461009408855, 0.03615396575940904]",4.0
0.832562747688243,0.8120841597154066,84,12,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.009644511841876266, 0.4616345056682199, 0.4887422855471415, 0.03997869694276232]",4.0
0.8307830617936298,0.8089551188992596,84,9,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004024123668458499, 0.46228700333856254, 0.5028340040533223, 0.030854868939656586]",4.0
0.83291134595626,0.8120526328993911,84,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005721337855477334, 0.45254018895499387, 0.5067838515281665, 0.03495462166136237]",4.0
0.8323058858065463,0.8115677940970643,84,11,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007342693818161213, 0.45618367639062535, 0.5004533138512902, 0.036020315939923275]",4.0
0.8326728313518273,0.8124355306690049,84,13,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.012060497548584528, 0.44429535128236447, 0.499895570039036, 0.04374858113001496]",4.0
0.830819756348158,0.8111867734183311,84,14,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.014946373286240834, 0.44272567223152504, 0.49267710567711326, 0.0496508488051209]",4.0
0.8299023924849552,0.81080043882105,84,15,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.018105011957065854, 0.4447806604425111, 0.48060546506500174, 0.05650886253542135]",4.0
0.8282327902539263,0.8094907186787809,84,16,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.021321811649658944, 0.44306141387082526, 0.4716242211181406, 0.06399255336137533]",4.0
0.8257926023778072,0.8076571371603488,84,17,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.02435561320577967, 0.4299510249813581, 0.4740377945501066, 0.07165556726275567]",4.0
0.8297189197123147,0.8080100299084538,10,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005307088381655909, 0.4903123865615953, 0.4715910807316838, 0.03278944432506488]",4.0
0.8319205929840012,0.8108197864725201,20,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005536767508117442, 0.47640448440626276, 0.48409024474906887, 0.03396850333655096]",4.0
0.8330397768971085,0.8121080474040823,30,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00548839359102667, 0.45521229167754534, 0.5048057562418935, 0.03449355848953457]",4.0
0.8331131660061647,0.8122263282092048,40,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005753076321714758, 0.4490611242560313, 0.5106148616071093, 0.034570937815144656]",4.0
0.83291134595626,0.812048825205984,50,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005684408156134943, 0.4501309952534423, 0.5091575112128522, 0.03502708537757053]",4.0
0.8323976221928666,0.8115352636761187,60,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005692935208495572, 0.44066732846198614, 0.5188381343358487, 0.034801601993669724]",4.0
0.8326911786290915,0.8117870951263322,70,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00565044019947155, 0.45207850368735636, 0.507484252710444, 0.034786803402728016]",4.0
